room,subject,time,day
APP DEV 301,CCS 223 - Discrete Structures 2,8:00 AM - 9:00 AM,Monday
ICT 207,CC 204 - Data Structures and Algorithms,9:00 AM - 11:00 AM,Tuesday
BIZ LAB 201,BUSINESS LAB,2:00 PM - 4:00 PM,Thursday
ICT 207,CC 202 - Computer Programming 1,1:00 PM - 3:00 PM,Monday
APP DEV 301,CCS 223 - Discrete Structures 2,1:00 PM - 2:30 PM,Monday
ICT 206,CC 202 - Computer Programming 1,9:00 AM - 12:00 PM,Monday
ICT 206,CC 202 - Computer Programming 1,10:00 AM - 12:00 PM,Wednesday
ICT 207,CCS 246 - Introduction to Artificial Intelligence,1:00 PM - 2:30 PM,Tuesday
ICT 207,CCS 246 - Introduction to Artificial Intelligence,1:00 PM - 2:30 PM,Thursday
ICT 207,CCS 221 - Computer Graphics and Visual Computing,2:30 PM - 4:00 PM,Monday
ICT 207,CCS 221 - Computer Graphics and Visual Computing,2:30 PM - 4:00 PM,Wednesday
ICT 207,CC 203 - Computer Programming 2,3:00 PM - 6:00 PM,Tuesday
ICT 207,CC 203 - Computer Programming 2,4:00 PM - 6:00 PM,Thursday
ICT 302,CC 201 - Introduction to Computing,5:10 PM - 7:10 PM,Tuesday
ICT 302,CC 201 - Introduction to Computing,5:10 PM - 8:10 PM,Thursday
ICT 306,CIT 207 - Object-Oriented Programming,7:00 AM - 9:00 AM,Monday
ICT 306,CIT 207 - Object-Oriented Programming,7:00 AM - 10:00 AM,Wednesday
ICT 307,CCS 222 - Web Design and Development,7:00 AM - 9:00 AM,Tuesday
ICT 307,CCS 222 - Web Design and Development,7:00 AM - 10:00 AM,Thursday
ICT 307,CCS 221 - Computer Graphics and Visual Computing,9:00 AM - 12:00 PM,Monday
ICT 307,CCS 221 - Computer Graphics and Visual Computing,10:00 AM - 12:00 PM,Wednesday
ICT 307,CC 203 - Computer Programming 2,3:00 PM - 6:00 PM,Tuesday
ICT 307,CC 203 - Computer Programming 2,4:00 PM - 6:00 PM,Thursday